limbic lobe,fornicate gyrus,limbic lobe (carpenter),grande lobe limbique of broca,fornicate lobe,lobus limbicus,gyrus fornicatus,fornicate convolution,,,,,,,,,,,,,,,,,,,,,
cuneus cortex,cuneus of hemisphere,cuneus gyrus,cuneate lobule,cuneus,gyrus cuneus,,,,,,,,,,,,,,,,,,,,,,,
cingulate gyrus,falciform lobe,upper limbic gyrus,cingulate area,cingulate region,cingular gyrus,gyri cinguli,,,,,,,,,,,,,,,,,,,,,,
posterior cingulate gyrus,posterior cingulate,gyrus cinguli posterior,gyrus limbicus posterior,,,,,,,,,,,,,,,,,,,,,,,,,
anterior cingulate,anterior cingulate gyrus,"cingulate gyrus, anterior division",,cortex cingularis anterior,gyrus limbicus anterior,gyrus cinguli anterior,,,,,,,,,,,,,,,,,,,,,,
forebrain,prosencephalon,,,,,,,,,,,,,,,,,,,,,,,,,,,
telencephalon,supratentorial region,cerebrum,endbrain,,,,,,,,,,,,,,,,,,,,,,,,,
cerebral cortex,cortex of cerebral hemisphere,cortex cerebralis,pallium of the brain,cortical plate (areas),cortical plate (CTXpl),cortex cerebri,,,,,,,,,,,,,,,,,,,,,,
temporal lobe,lobus temporalis,temporal cortex,,,,,,,,,,,,,,,,,,,,,,,,,,
inferior temporal gyrus,lateral occipitotemporal gyrus (heimer 83),gyrus temporalis inferior,,,,,,,,,,,,,,,,,,,,,,,,,,
frontal lobe,regio frontalis,frontal region,lobus frontalis,lobi frontales,frontal cortex,,,,,,,,,,,,,,,,,,,,,,,
superior temporal gyrus,gyrus temporalis superior,,,,,,,,,,,,,,,,,,,,,,,,,,,
parietal lobe,parietal region,regio parietalis,lobus parietalis,,,,,,,,,,,,,,,,,,,,,,,,,
prefrontal cortex,prefrontal association cortex,frontal association cortex,prefrontal association complex,,,,,,,,,,,,,,,,,,,,,,,,,
substantia nigra,nucleus of basis pedunculi,Soemmering's substance,substancia nigra,substantia nigra (Soemmerringi),nucleus pigmentosus subthalamo peduncularis,,,,,,,,,,,,,,,,,,,,,,,
occipital lobe,regio occipitalis,lobus occipitalis,,,,,,,,,,,,,,,,,,,,,,,,,,
hindbrain,rhombencephalon,,,,,,,,,,,,,,,,,,,,,,,,,,,
midbrain,mesencephalon,,,,,,,,,,,,,,,,,,,,,,,,,,,
metencephalon,epencephalon,epencephalon-2,,,,,,,,,,,,,,,,,,,,,,,,,,
cerebellum,infratentorial region,epencephalon-1,parencephalon,corpus cerebelli,,,,,,,,,,,,,,,,,,,,,,,,
diencephalon,between brain,thalamencephalon,mature diencephalon,interbrain,betweenbrain,,,,,,,,,,,,,,,,,,,,,,,
dorsal plus ventral thalamus,thalamus,wider thalamus,thalami,thalamus opticus,,,,,,,,,,,,,,,,,,,,,,,,
basal ganglion,basal ganglion of telencephalon,basal nucleus,nuclei basales,basal ganglia,,,,,,,,,,,,,,,,,,,,,,,,
amygdala,amygdaloid complex,archistriatum,amygdaloid nuclear groups,amygdaloid nuclear complex,amygdaloid body,nucleus amygdalae,amygdaloid area,corpus amygdaloideum,amygdaloid nucleus,amygdaloid nuclear group,corpus amygdalae,,,,,,,,,,,,,,,,,
striatum,striate nucleus,neuraxis striatum,striatum of neuraxis,neostriatum,corpus striatum (Zilles),striated nucleus,caudate putamen,,,,,,,,,,,,,,,,,,,,,
putamen,nucleus putamen,,,,,,,,,,,,,,,,,,,,,,,,,,,
caudate nucleus,caudatus,Ammon horn fields,caudatum,nucleus caudatus,,,,,,,,,,,,,,,,,,,,,,,,
hippocampus,hippocampal formation,hippocampus (Crosby),formatio hippocampi,seahorse,major hippocampus,primal cortex,,,,,,,,,,,,,,,,,,,,,,
archicortex,archipallium,intralimbic gyrus,hippocampal pallium,,,,,,,,,,,,,,,,,,,,,,,,,
orbital gyrus,orbital gyri,gyrus orbitales,,,,,,,,,,,,,,,,,,,,,,,,,,
