Abstract,Published year,OFC,PFC,DLPFC,mPFC,Frontal lobe,Temporal lobe,Amygdala,ACC,Hippocampus,Insula,Thalamus,BG,Striatum,Putamen,CAU
0,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
